,Label,lumMean,lumSD,area,lwMean,lwSD,swMean,swSD
34599,SidiBarani_verruculosa_EF/1356_1359_b3,0.579785638,0.119688883,13750,0.579785638,0.119688883,0.358716709,0.085246519
34600,SidiBarani_verruculosa_EF/1356_1359_b4,0.331403795,0.104119957,8596,0.331403795,0.104119957,0.184758639,0.064595134
34601,SidiBarani_verruculosa_EF/1356_1359_b5,0.382245056,0.118467939,73348,0.382245056,0.118467939,0.33126739,0.092685726
34602,SidiBarani_verruculosa_EF/1356_1359_c1,0.126833639,0.076573935,38483,0.126833639,0.076573935,0.062128215,0.039192162
34603,SidiBarani_verruculosa_EF/1356_1359_c2,0.131503269,0.06358242,33776,0.131503269,0.06358242,0.057966569,0.031142716
34604,SidiBarani_verruculosa_EF/1356_1359_c3,0.132271135,0.064647822,33702,0.132271135,0.064647822,0.059011982,0.028582109
34605,SidiBarani_verruculosa_EF/1356_1359_c4,0.139429358,0.069672257,47069,0.139429358,0.069672257,0.068330992,0.037074213
34606,SidiBarani_verruculosa_EF/1356_1359_g1,0.165152558,0.094482323,28493,0.165152558,0.094482323,0.072662118,0.042883708
34607,SidiBarani_verruculosa_EF/1392_1395_a1a,0.185909865,0.08390016,53843,0.185909865,0.08390016,0.132069428,0.052095892
34608,SidiBarani_verruculosa_EF/1392_1395_a1b,0.182751849,0.054040663,49345,0.182751849,0.054040663,0.130390512,0.025102649
34609,SidiBarani_verruculosa_EF/1392_1395_a2a,0.170763139,0.043630927,31152,0.170763139,0.043630927,0.116465253,0.022634566
34610,SidiBarani_verruculosa_EF/1392_1395_a2b,0.188343839,0.062890686,31845,0.188343839,0.062890686,0.12876647,0.041532546
34611,SidiBarani_verruculosa_EF/1392_1395_a3a,0.193999572,0.103916619,53500,0.193999572,0.103916619,0.142314728,0.064301819
34612,SidiBarani_verruculosa_EF/1392_1395_a3b,0.19445157,0.056264042,41185,0.19445157,0.056264042,0.136718238,0.031272131
34613,SidiBarani_verruculosa_EF/1392_1395_a4a,0.161131769,0.073433583,52769,0.161131769,0.073433583,0.122871058,0.048704068
34614,SidiBarani_verruculosa_EF/1392_1395_a4b,0.107909407,0.04679427,57295,0.107909407,0.04679427,0.092698996,0.023678043
34615,SidiBarani_verruculosa_EF/1392_1395_b1,0.345108706,0.113353397,132512,0.345108706,0.113353397,0.289610486,0.085672365
34616,SidiBarani_verruculosa_EF/1392_1395_b2,0.327556265,0.168688389,352326,0.327556265,0.168688389,0.198742644,0.101414713
34617,SidiBarani_verruculosa_EF/1392_1395_b3,0.605060054,0.140946352,7330,0.605060054,0.140946352,0.411351313,0.092503426
34618,SidiBarani_verruculosa_EF/1392_1395_b4,0.226537117,0.14369743,727054,0.226537117,0.14369743,0.141517073,0.08389472
34619,SidiBarani_verruculosa_EF/1392_1395_b5,0.26098001,0.083826967,4616,0.26098001,0.083826967,0.148534295,0.045041423
34620,SidiBarani_verruculosa_EF/1392_1395_b6,0.207907611,0.135480948,125154,0.207907611,0.135480948,0.145179714,0.082960097
34621,SidiBarani_verruculosa_EF/1392_1395_c1,0.082117824,0.043085375,34686,0.082117824,0.043085375,0.042413407,0.020471416
